pdf1,pdf2,tfidfSimilarity,doc2vecSimilarity,wordEmbeddingSimilarity,semanticSimilarity,tableSimilarity
2312.07380.pdf,2312.14731.pdf,0.7777066572703567,0.4321610927581787,0.9999816417694092,0.0784866064786911,0.9113057894666167
2312.07380.pdf,2402.02440.pdf,0.8218197888714127,0.4059062600135803,0.999993622303009,0.33856508135795593,0.9719071937592744
2312.07380.pdf,2312.02211.pdf,0.7428289185721122,0.48571157455444336,0.9999979734420776,0.22615565359592438,0.9985908032622739
2312.07380.pdf,2401.10389.pdf,0.8220712362417582,0.4005942940711975,0.9999970197677612,0.33169692754745483,0.9977368038515884
2312.07380.pdf,2310.20362.pdf,0.73415088887213,0.46664151549339294,0.9987139701843262,0.31381407380104065,0.7075705181809232
2312.07380.pdf,2310.20001.pdf,0.7824690128553842,0.44548389315605164,0.9998493790626526,0.1538781225681305,0.9994514894275999
2312.07380.pdf,2410.08025.pdf,0.7632455174575952,0.4198445677757263,0.9979805946350098,-0.04075431823730469,0.569163215914825
2312.07380.pdf,2401.04231.pdf,0.8011398698448218,0.481123149394989,0.9999985098838806,0.41151267290115356,0.9817787166227652
2312.07380.pdf,2312.10018.pdf,0.7866381292810448,0.41174906492233276,0.9999970197677612,0.2021057903766632,0.996307441095202
2312.14731.pdf,2402.02440.pdf,0.8008395090377025,0.43826979398727417,0.9999664425849915,0.2480459362268448,0.9525032169229293
2312.14731.pdf,2312.02211.pdf,0.6522692587424324,0.480085551738739,0.9999882578849792,0.23494409024715424,0.9157829081382373
2312.14731.pdf,2401.10389.pdf,0.7852307568558193,0.4041695296764374,0.9999767541885376,0.16899412870407104,0.9179047836072513
2312.14731.pdf,2310.20362.pdf,0.6525649230215899,0.47597038745880127,0.998346745967865,0.16433192789554596,0.6479782835377162
2312.14731.pdf,2310.20001.pdf,0.7947784009331187,0.43433666229248047,0.9998102188110352,0.08080582320690155,0.9140075256284855
2312.14731.pdf,2410.08025.pdf,0.7233796011552754,0.4561809301376343,0.9956837296485901,0.15647250413894653,0.5452485192526982
2312.14731.pdf,2401.04231.pdf,0.7117482912525959,0.4753599464893341,0.999993085861206,0.13029178977012634,0.9057410402672451
2312.14731.pdf,2312.10018.pdf,0.8346569481310807,0.4097879230976105,0.9999940395355225,0.4692130386829376,0.9176159470107732
2402.02440.pdf,2312.02211.pdf,0.7002897029354516,0.47199103236198425,0.9999917149543762,0.28093647956848145,0.9707788103067313
2402.02440.pdf,2401.10389.pdf,0.8140750610638053,0.41361385583877563,0.9999870657920837,0.3438088297843933,0.96996813736216
2402.02440.pdf,2310.20362.pdf,0.7070020369092519,0.48840445280075073,0.9981746673583984,0.2724680006504059,0.6878622806869656
2402.02440.pdf,2310.20001.pdf,0.8337510641700105,0.4518771171569824,0.9998039603233337,0.19081923365592957,0.9714412578419391
2402.02440.pdf,2410.08025.pdf,0.7583043871040466,0.43005532026290894,0.9954290986061096,0.07496647536754608,0.5543060852004098
2402.02440.pdf,2401.04231.pdf,0.7873068654707622,0.45902058482170105,0.9999959468841553,0.14249639213085175,0.9546040444866282
2402.02440.pdf,2312.10018.pdf,0.8286587011336223,0.4115790128707886,0.9999890923500061,0.27051031589508057,0.9687428407003517
2312.02211.pdf,2401.10389.pdf,0.7109457344182628,0.43044209480285645,0.9999958872795105,0.373685359954834,0.9994580009489232
2312.02211.pdf,2310.20362.pdf,0.6656515922446713,0.49057844281196594,0.9996381998062134,0.38575637340545654,0.7078071049647852
2312.02211.pdf,2310.20001.pdf,0.6905517758375116,0.4616716802120209,0.9999611973762512,0.007994366809725761,0.9993100603450632
2312.02211.pdf,2410.08025.pdf,0.6742779586598283,0.5466017127037048,0.9971683621406555,0.23558947443962097,0.5788856905376815
2312.02211.pdf,2401.04231.pdf,0.746149328424033,0.539127767086029,0.9999960064888,0.37618187069892883,0.9851038859825832
2312.02211.pdf,2312.10018.pdf,0.6774676474017367,0.4451594352722168,0.9999958872795105,0.2886592745780945,0.9994502313561068
2401.10389.pdf,2310.20362.pdf,0.7290989855729737,0.4649158716201782,0.9980924129486084,0.3837340176105499,0.707597191764135
2401.10389.pdf,2310.20001.pdf,0.8030823168632881,0.39655283093452454,0.9998393058776855,0.06713144481182098,0.9987974838190168
2401.10389.pdf,2410.08025.pdf,0.7463054117814101,0.4277104437351227,0.9963457584381104,0.08087098598480225,0.5825960037008734
2401.10389.pdf,2401.04231.pdf,0.7824028215826917,0.4449002146720886,0.9999980926513672,0.3615805506706238,0.9855925707962596
2401.10389.pdf,2312.10018.pdf,0.8108536261020234,0.3788588047027588,0.9999961256980896,0.2719242572784424,0.9992817101950433
2310.20362.pdf,2310.20001.pdf,0.7022818602536332,0.5059678554534912,0.9964681267738342,0.05393419414758682,0.7080734209602255
2310.20362.pdf,2410.08025.pdf,0.6399434233895016,0.4915643632411957,0.9974184036254883,-0.04810462146997452,0.4097874117710922
2310.20362.pdf,2401.04231.pdf,0.7446020559381668,0.48048466444015503,0.9992768168449402,0.37954238057136536,0.7396990747724947
2310.20362.pdf,2312.10018.pdf,0.7430553208607391,0.46114522218704224,0.9982350468635559,0.3452017605304718,0.7069663056845045
2310.20001.pdf,2410.08025.pdf,0.734507772797897,0.4780145287513733,0.9927614331245422,-0.044491834938526154,0.5864144669222948
2310.20001.pdf,2401.04231.pdf,0.7559273724574163,0.5386546850204468,0.9999476075172424,-0.028652310371398926,0.9869489914552998
2310.20001.pdf,2312.10018.pdf,0.8029534639641708,0.43842846155166626,0.9996240139007568,0.047589290887117386,0.9978399113311154
2410.08025.pdf,2401.04231.pdf,0.7143185828538743,0.5164210200309753,0.9956662654876709,0.0678175762295723,0.6656714258064333
2410.08025.pdf,2312.10018.pdf,0.7222174830977074,0.43863317370414734,0.997421383857727,0.004163042642176151,0.584512037462672
2401.04231.pdf,2312.10018.pdf,0.7634578076842773,0.4575466811656952,0.9999977350234985,0.15739010274410248,0.9858845181975829
